41066|0|5939|BATI TERMİNALİ-SEPETÇİ
41105|1|5926|UMUTTEPE-S.HASTANESİ-ÖĞRETMENLER-R.SEYMEN CAMİ
41169|1|5882|TÜTÜNÇİFTLİK - İLİMTEPE
41065|0|5854|ORKİDE SOKAK-BİLİM MERKEZİ
41500|1|5842|DARICA - HEREKE
41214|0|5807|İSTASYON -TEPECİK- İZMİT
41407|0|5774|İSTASYON - KİRAZPINAR
41755|0|5769|KARAMÜRSEL - UMUTTEPE
41088|0|5759|DÜNYA BANKASI - TREN GARI
41712|0|5717|SARAYLI-BAYINDIRLIK- ÇARŞI-OTOGAR-DEVLET HAST.
41632|1|5703|İZMİT(YENİ YOL) - BAHÇECİK
41419|1|5683|MEVLANA  - İSTASYON
41632|0|5671|BAHÇECİK - İZMİT(YENİ YOL)
41081|1|5654|TREN GARI-ŞEHİR HASTANESİ-GÜNDOĞDU
41300|1|5630|UMUTTEPE - İZMİT - DİLOVASI
42480|1|5624|MUTLUKENT - KİRAZPINAR
41397|0|5617|TEPECİK - GEBZE - OTOGAR - EMNİYET MÜD.
41550|0|5615|ÖZGÜNKENT - ŞEKERPINAR - ÇAYIROVA - DARICA
41656|0|5597|YENİKÖY - GÖLCÜK  
41086|1|5595|ÇAYİRKÖY-TREN GARI-BATI TERMİNALİ
41300|0|5537|DİLOVASI - İZMİT- UMUTTEPE
41034|1|5516|SANAYİ-MİLLİ İRADE MEYDANI-DOĞU KIŞLA-ÜÇYOL-ÖZBEK ÇEŞMESİ
41204|0|5492|MAŞUKİYE-DERBENT-BALABAN-SUADİYE-RAHMİYE-ARSLANBEY-İZMİT
42325|0|5474|DİLİSKELESİ - GEBZE - MARMARAY - SIRASÖĞÜTLER
41310|0|5416|DİLİSKELESİ - DARICA
41559|1|5389|KAYMAKAMLIK - FATİH TREN İST
41085|0|5343|AKPINAR TOKİ-DÜNYABANKASI-UMUTTEPE
41634|1|5339|İZMİT(YENİ YOL)- YEŞİLKENT
51082|0|5326|KANDIRA-KERPE-KUMCAĞIZ-DOĞANLAR-KEFKEN-CEBECİ
42550|0|5321|ÖZGÜNKENT - DARICA
41105|0|5290|R.SEYMEN CAMİ-ÖĞRETMENLER-S.HASTANESİ-UMUTTEPE
41509|0|5152|BAYRAMOĞLU - İMKB LİSESİ - ATATÜRK CAD. - GEBZE
41151|0|5145|95 EVLER - İZMİT
41651|0|5131|YENİKÖY - İZMİT
41255|0|5109|DERBENT-İZMİT- OTOGAR-UMUTTEPE
42515|0|5090|KENTÖNÜ - KBB GEBZE GARAJ
41310|1|5084|DARICA - DİLİSKELESİ
41281|0|5078|UZUNTARLA-ORMANYA-İBRİK D.-İZMİT
41302|0|5077|DİLOVASI - GEBZE
41306|0|5041|DİLİSKELESİ-BELEDİYE-KAYMAKAMLIK-BELEDİYE-HASTANE
41683|1|5008|GÖLCÜK - DEVLET HASTANESİ
42032|1|4991|BAYINDIRLIK-BOĞAZOVA-ŞEHİR HASTANESİ-TREN GARI
41001|0|4987|BATI TERMINALI-ŞEHİR HASTANESİ
41525|1|4943|MUSTAFA PAŞA CAMİ - ÇAYIROVA TREN İSTASYONU
41550|1|4928|DARICA - ÇAYIROVA - ŞEKERPINAR - ÖZGÜNKENT
41500|0|4913|HEREKE - DARICA
41085|1|4895|UMUTTEPE-DÜNYABANKASI-AKPINAR TOKİ
42515|1|4847|KBB GEBZE GARAJ - KENTÖNÜ
41255|1|4844|UMUTTEPE-OTOGAR-İZMİT- DERBENT
41712|1|4822|DEVLET HAST.-ESKİ GARAJLAR-ÇARŞI-BAYINDIRLIK-SARAYLI
41425|0|4754|KBB GARAJ-ADLİYE-ÇAYIROVA-M.SİNAN-GEBZE-DARICA
41415|0|4725|KBB GEBZE GARAJ - ADLİYE - B.BAĞI - GEBZE - DARICA
41320|0|4707|ÇERKEŞLİ  - ÇAĞDAŞKENT
41681|0|4698|İHSANİYE - GÖLCÜK
41628|1|4686|OKULLAR BÖLGESİ-TINAZTEPE-YUVACIK
41504|0|4685|KENTÖNÜ-GEBZE TEKNİK-S.SÖĞÜTLER-FARABİ-DARICA
41287|0|4657|EŞME -ORMANYA- İZMİT
41243|1|4645|İZMİT - BALABAN
41732|1|4635|GÖLCÜK - DEĞİRMENDERE
41722|1|4615|İZMİT-DEĞİRMENDERE (YENİ YOL)
41755|1|4591|UMUTTEPE - KARAMÜRSEL
41170|1|4546|UMUTTEPE-İZMİT-ALTYOL-KİRAZLIYALI
41218|1|4541|İZMİT-SARIMEŞE
